1,23,"Mild sauce"
2,23,"Medium sauce"
3,23,"Nuclear sauce"
4,32,"French fries"
5,32,"Fresh fruit"
6,32,"Broccoli"
7,32,"Homemade chips"
8,33,"French fries"
9,33,"Fresh fruit"
10,33,"Broccoli"
11,33,"Homemade chips"
12,34,"French fries"
13,34,"Fresh fruit"
14,34,"Broccoli"
15,34,"Homemade chips"
16,35,"French fries"
17,35,"Fresh fruit"
18,35,"Broccoli"
19,35,"Homemade chips"
20,36,"French fries"
21,36,"Fresh fruit"
22,36,"Broccoli"
23,36,"Homemade chips"
24,37,"French fries"
25,37,"Fresh fruit"
26,37,"Broccoli"
27,37,"Homemade chips"
28,38,"French fries"
29,38,"Fresh fruit"
30,38,"Broccoli"
31,38,"Homemade chips"
32,39,"French fries"
33,39,"Fresh fruit"
34,39,"Broccoli"
35,39,"Homemade chips"
36,40,"French fries"
37,40,"Fresh fruit"
38,40,"Broccoli"
39,40,"Homemade chips"
40,41,"French fries"
41,41,"Fresh fruit"
42,41,"Broccoli"
43,41,"Homemade chips"
44,42,"French fries"
45,42,"Fresh fruit"
46,42,"Broccoli"
47,42,"Homemade chips"
48,43,"French fries"
49,43,"Fresh fruit"
50,43,"Broccoli"
51,43,"Homemade chips"
52,44,"French fries"
53,44,"Fresh fruit"
54,44,"Broccoli"
55,44,"Homemade chips"
56,45,"French fries"
57,45,"Fresh fruit"
58,45,"Broccoli"
59,45,"Homemade chips"
60,46,"French fries"
61,46,"Fresh fruit"
62,46,"Broccoli"
63,46,"Homemade chips"
64,47,"French fries"
65,47,"Fresh fruit"
66,47,"Broccoli"
67,47,"Homemade chips"
68,48,"French fries"
69,48,"Fresh fruit"
70,48,"Broccoli"
71,48,"Homemade chips"
72,49,"French fries"
73,49,"Fresh fruit"
74,49,"Broccoli"
75,49,"Homemade chips"
76,50,"French fries"
77,50,"Fresh fruit"
78,50,"Broccoli"
79,50,"Homemade chips"
80,51,"French fries"
81,51,"Fresh fruit"
82,51,"Broccoli"
83,51,"Homemade chips"
84,52,"French fries"
85,52,"Fresh fruit"
86,52,"Broccoli"
87,52,"Homemade chips"
88,53,"French fries"
89,53,"Fresh fruit"
90,53,"Broccoli"
91,53,"Homemade chips"
92,54,"French fries"
93,54,"Fresh fruit"
94,54,"Broccoli"
95,54,"Homemade chips"
96,81,"Tomato Bisque Soup"
97,81,"Chili"
98,82,"Tomato Bisque Soup"
99,82,"Chili"
100,83,"Tomato Bisque Soup"
101,83,"Chili"
102,84,"Ranch; Tomato Bisque Soup"
103,84,"Ranch; Chili"
